CMPD_CHEMBLID,CANONICAL_SMILES,pKi
CHEMBL3115893,NC(=N)c1ccc(CNC(=O)C(CC2CCNCC2)NC(=O)[C@@H](CC3CCCCC3)NCC(=O)O)cc1,5.22184875
CHEMBL7854,Nc1cc(ccc1Cl)C2=NOC(CNS(=O)(=O)N)(C2)C(=O)Nc3ccc(cn3)c4ccccc4S(=O)(=O)N,5.229147988
CHEMBL549979,Clc1ccc(s1)C(=O)Nc2nc(CC(=O)N3CCN(CC(=O)N4CCCC4)CC3)cs2,5.229147988
CHEMBL2315237,NC(=N)c1ccc(CNC(=O)[C@@H]2Cc3ccc(NC(=O)CN4CCCN(CC4)CC(=O)NCc5ccc(C[C@@H](NS(=O)(=O)Cc6ccccc6)C(=O)N2)cc5)cc3)cc1,5.231361899
CHEMBL2159282,NC(=[NH2+])c1cccc(NC(=O)CNS(=O)(=O)c2cccc3ccccc23)c1,5.235077015
CHEMBL330496,CC1(CC(=NO1)c2cccc(c2)C(=N)N)C(=O)Nc3ccc(cc3)c4ccccc4S(=O)(=O)N,5.236572006
CHEMBL93744,CCS(=O)(=O)CC1(CC(=NO1)c2cccc(c2)C(=N)N)C(=O)Nc3ccc(cn3)c4ccccc4S(=O)(=O)N,5.236572006
CHEMBL153946,CS(=O)(=O)c1ccccc1c2ccc(NC(=O)c3cc(nn3c4cccc(CN)c4)C(F)(F)F)cc2,5.236572006
CHEMBL3594310,CCS(=O)(=O)c1ccc2NC(=O)CCCc3ccc(cc3)[C@@H](Nc4ccc5c(N)nccc5c4)C(=O)NCc1c2,5.236572006
CHEMBL7967,CC1(CC(=NO1)c2cccc(c2)C(=N)N)C(=O)Nc3ccc(cc3)c4ccccc4S(=O)(=O)N,5.236572006
CHEMBL3099812,NC(=N)c1ccc(Oc2ccc(NS(=O)(=O)c3ccc4ccccc4c3)c(Oc5ccc(cc5)C(=N)N)n2)cc1,5.236572006
CHEMBL506240,CC[C@H](C)[C@H](NS(=O)(=O)Cc1cccc(c1)C(=O)O)C(=O)N[C@@H](CCC(=O)N)C(=O)NCc2ccc(cc2)C(=N)N,5.241769592
CHEMBL442201,CC(C)C1NCCc2ccc(NC(=O)c3ccc4cc(ccc4c3)C(=N)N)cc12,5.242603971
CHEMBL3114835,CCOc1cc([C@@H](Nc2ccc3c(N)nccc3c2)C(=O)N4CCC[C@@H]4c5cc(NC(=O)OC)ccc5S(=O)(=O)C(C)C)c(F)cc1F,5.244125144
CHEMBL347838,NC(=N)c1cccc(c1)C2=NO[C@H](Cn3cnnn3)[C@H]2C(=O)Nc4ccc(cc4)c5ccccc5S(=O)(=O)N,5.244125144
CHEMBL598213,CCCC(=O)N1CCC[C@H]1C(=O)NCc2ccc(cc2)C(=N)N,5.244125144
